grasp_id,label,timestamp_ms,enc_deg,s0_dx,s0_dy,s0_dz,s1_dx,s1_dy,s1_dz,s2_dx,s2_dy,s2_dz,s3_dx,s3_dy,s3_dz,t1_flag,t2_flag,t1_ms,t2_ms,load_t1,load_t2,current_t1,current_t2,enc_t1,time_to_stall_ms,t1_source
41,cylinder_soft,6,60.984,5.549,6.300,14.277,-6.000,-3.750,-11.859,2.250,2.550,-0.969,15.300,14.399,21.055,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
41,cylinder_soft,56,61.512,-8.100,-7.425,-10.164,7.875,8.774,16.334,4.726,4.275,6.895,-21.824,-28.801,-28.314,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
41,cylinder_soft,106,63.360,-3.374,5.625,1.814,9.676,9.451,16.699,-15.300,-18.676,-28.314,15.975,17.325,15.973,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
41,cylinder_soft,157,65.648,-7.199,-2.925,-6.535,5.400,6.300,12.705,16.875,13.950,24.322,13.275,14.176,19.602,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
41,cylinder_soft,208,68.728,6.976,3.150,2.178,11.925,11.476,18.150,2.025,1.800,0.727,12.825,11.925,20.689,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
41,cylinder_soft,259,71.544,2.250,4.950,2.906,-4.951,-10.799,-9.438,12.600,5.400,20.328,14.400,9.899,15.246,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
41,cylinder_soft,309,74.448,5.174,1.799,15.607,-13.050,-12.375,-22.143,13.726,11.250,20.328,7.426,6.074,14.156,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
41,cylinder_soft,360,77.440,2.701,-1.350,0.727,-4.049,1.799,-3.631,13.051,13.051,25.410,-7.200,-7.650,-12.344,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
41,cylinder_soft,412,80.432,-15.075,-11.925,-25.045,11.250,9.000,22.143,-6.301,-4.274,-10.164,-9.899,-6.976,-15.971,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
41,cylinder_soft,463,83.424,1.350,2.700,5.082,-13.951,-8.101,-20.328,12.600,8.550,9.438,-17.101,-9.000,-30.492,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
41,cylinder_soft,514,86.328,-2.250,-3.149,0.725,-11.700,-15.076,-22.143,4.051,6.300,9.438,16.875,18.225,27.949,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
41,cylinder_soft,564,89.232,6.301,0.900,7.260,0.899,6.750,15.973,13.051,13.500,21.779,-24.750,-25.650,-37.752,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
41,cylinder_soft,614,91.960,1.351,0.000,6.533,22.049,21.600,38.479,-4.500,-6.750,-12.342,-16.650,-11.250,-8.713,0,0,0,0,0.0,0.0,0.0,0.0,0.000,0,0
