grasp_id,label,timestamp_ms,enc_deg,s0_dx,s0_dy,s0_dz,s1_dx,s1_dy,s1_dz,s2_dx,s2_dy,s2_dz,s3_dx,s3_dy,s3_dz,t1_flag,t2_flag,t1_ms,t2_ms,load_t1,load_t2,current_t1,current_t2,enc_t1,time_to_stall_ms,t1_source
1,cube_soft,5,60.896,9.3,8.55,16.939,-2.7,-4.499,-4.84,-0.3,4.2,5.809,18.15,15.15,27.104,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,56,61.424,5.625,6.75,11.979,-2.475,0.675,2.18,19.574,13.95,26.861,-8.999,-9.675,-12.342,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,107,63.448,9,11.924,14.158,-6.975,-5.175,-7.26,-16.426,-14.625,-19.602,-16.65,-15.976,-26.861,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,157,65.824,-16.425,-18.451,-28.676,-6.301,-9.675,-16.332,-13.725,-13.726,-20.691,-2.25,-2.926,0,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,209,68.904,17.101,14.4,30.492,2.25,-0.9,0.727,22.5,17.1,42.109,-3.15,-2.7,-0.727,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,261,71.72,3.6,8.1,11.615,14.4,10.801,18.875,-0.9,4.051,-4.355,-7.2,-10.35,-12.34,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,312,74.712,4.95,3.375,3.633,20.25,12.376,26.137,-4.05,-1.126,-11.979,7.425,-1.126,4.355,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,363,77.616,-1.35,-1.799,-1.451,-0.899,4.5,-2.904,18.45,21.6,31.217,24.75,24.3,39.93,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,414,80.608,4.726,6.75,5.082,2.925,6.524,2.18,27.899,31.049,46.104,-10.35,-8.775,-11.252,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,465,83.6,12.149,11.699,19.604,-24.75,-22.5,-39.203,0,1.8,7.986,-1.35,-7.649,-7.262,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,516,86.504,-22.725,-20.699,-34.121,-6.75,-7.65,-15.607,10.126,9.225,15.973,-11.925,-18.675,-16.697,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,567,89.408,2.25,-0.9,-3.633,-14.85,-12.149,-29.039,6.3,7.65,18.875,2.7,1.35,-2.18,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,618,92.312,2.924,-1.574,-5.445,-9.451,-9.449,-15.973,11.025,14.625,21.779,2.25,-1.125,-2.902,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,669,95.04,-4.725,-3.824,-6.172,27.675,26.775,45.012,-15.3,-18.226,-22.508,4.05,7.874,12.342,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,719,97.768,-4.5,-5.176,-9.801,10.801,6.75,7.623,-24.525,-15.525,-31.217,3.6,0,5.445,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,769,100.232,-9.449,-12.6,-21.781,13.05,18.9,23.959,36.9,36.45,51.547,-25.65,-27.449,-42.834,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,819,102.696,-1.35,-0.675,-5.082,0.9,2.475,5.809,9.899,8.325,11.617,2.25,-2.024,-9.076,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,869,105.248,-8.775,-10.125,-20.689,-1.801,-2.699,-6.896,-13.949,-17.325,-21.418,10.576,3.149,4.721,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,920,106.48,-6.525,-8.325,-17.785,12.6,14.85,25.773,5.85,6.976,9.074,17.326,10.351,14.158,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,970,106.744,-7.425,-8.101,-12.705,2.25,7.425,5.809,18.449,11.924,19.238,-0.226,-0.45,-12.703,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,1020,106.744,-6.976,-3.601,-4.719,12.601,17.325,18.875,25.649,21.824,31.582,-6.075,-9.45,-24.32,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,1070,106.744,-29.025,-31.95,-51.91,19.351,21.376,34.121,4.049,4.274,4.719,15.976,13.5,18.516,0,0,0,0,0,0,0,0,0,0,0
1,cube_soft,1120,106.744,-4.275,-3.149,0.363,-9,-5.175,-18.877,9.449,6.975,9.076,9.675,10.351,1.09,1,0,1120,0,0,0,229,0,106.744,0,2
