grasp_id,label,timestamp_ms,enc_deg,s0_dx,s0_dy,s0_dz,s1_dx,s1_dy,s1_dz,s2_dx,s2_dy,s2_dz,s3_dx,s3_dy,s3_dz,s4_dx,s4_dy,s4_dz,s5_dx,s5_dy,s5_dz,t1_flag,t2_flag,t1_ms,t2_ms
1,cylinder_stiff,6,60.632,-6.307,-6.664,29.790,-5.134,-1.200,23.341,-0.000,0.000,-0.000,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,0,0
1,cylinder_stiff,24,60.632,1.343,2.636,-6.994,6.566,16.800,5.191,-0.000,0.000,-0.000,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,0,0
1,cylinder_stiff,43,60.896,-8.557,-4.864,5.106,-0.784,16.950,-6.909,-0.000,0.000,-0.000,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,0,0
1,cylinder_stiff,61,61.424,-0.457,-2.764,-0.702,-5.134,10.500,-7.635,-0.000,0.000,-0.000,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,0,0
1,cylinder_stiff,80,62.128,-9.757,-0.964,1.960,3.416,16.650,-6.425,-0.000,0.000,-0.000,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,0,0
1,cylinder_stiff,100,63.008,-4.807,1.286,-12.076,-4.534,5.850,5.675,-0.000,0.000,-0.000,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,0,0
1,cylinder_stiff,120,63.888,-10.957,-0.064,-10.866,-6.784,17.850,-9.571,-0.000,0.000,-0.000,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,0,0
1,cylinder_stiff,140,64.768,-3.157,-8.914,6.074,-6.034,12.000,-17.315,-0.000,0.000,-0.000,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,0,0
1,cylinder_stiff,160,65.912,-11.107,-0.064,16.480,-2.434,14.850,-0.133,-0.000,0.000,-0.000,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,0,0
1,cylinder_stiff,180,66.968,-6.157,0.086,5.832,1.616,10.650,-8.845,-0.000,0.000,-0.000,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,0,0
1,cylinder_stiff,200,68.112,-7.207,6.986,17.690,-3.184,19.050,-4.731,-0.000,0.000,-0.000,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,0,0
