grasp_id,label,timestamp_ms,enc_deg,s0_dx,s0_dy,s0_dz,s1_dx,s1_dy,s1_dz,s2_dx,s2_dy,s2_dz,s3_dx,s3_dy,s3_dz,s4_dx,s4_dy,s4_dz,s5_dx,s5_dy,s5_dz,t1_flag,t2_flag,t1_ms,t2_ms
1,cylinder_stiff,6,60.720,-2.563,-2.087,20.690,7.228,9.060,4.053,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,1,0,6,0
1,cylinder_stiff,24,60.720,4.493,-0.127,17.530,-7.276,3.964,16.693,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,43,60.984,1.357,-3.263,14.686,-8.060,-0.740,19.221,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,61,61.424,-1.191,-0.715,39.650,-1.788,6.512,6.897,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,80,62.040,4.493,-2.283,32.066,-3.748,-1.524,16.377,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,100,62.920,-5.503,6.341,26.694,-4.336,-4.856,10.689,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,120,63.888,-0.211,-3.851,20.690,-0.612,7.296,6.581,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,140,64.768,4.297,-4.047,28.590,-2.768,5.140,17.325,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,160,65.736,5.669,-0.715,28.590,-0.808,7.296,17.641,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,180,66.880,2.533,-4.439,25.430,-6.100,-1.720,10.057,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,200,68.024,2.925,-2.675,17.846,-3.944,-2.504,10.689,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,220,69.168,2.729,-8.947,16.266,-2.180,-3.876,11.005,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,240,70.312,-3.347,1.637,32.698,6.640,0.044,17.325,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,260,71.368,7.237,3.205,18.478,-6.296,-1.132,21.117,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,280,72.424,-2.759,-15.807,21.638,-2.572,-1.524,12.585,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,300,73.568,-2.563,-5.223,25.746,0.172,1.024,25.541,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,320,74.712,-1.975,0.069,38.386,-9.628,-4.856,18.905,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,340,75.856,1.945,-9.143,23.218,-0.220,-2.700,2.157,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,360,77.000,-2.171,0.657,17.846,1.348,-9.952,11.637,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,380,78.232,6.061,-1.499,35.226,-2.768,-5.640,14.481,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,400,79.288,8.805,-6.595,31.118,-2.572,-0.544,28.385,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,420,80.432,-3.935,-0.911,33.014,1.740,-8.776,17.641,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,440,81.488,5.865,-5.615,37.122,0.172,-2.308,19.853,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,460,82.456,7.237,-6.791,36.490,-0.808,3.572,19.221,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
1,cylinder_stiff,480,83.512,-1.779,1.637,30.170,3.700,-1.720,27.437,0.000,-0.000,-0.007,0.000,-0.000,-0.007,0.002,-0.001,0.000,0.000,-0.000,-0.007,0,0,6,0
