session_id,grasp_index,label,t1_source,time_to_stall_ms,enc_t1,enc_t2,load_t2,current_t2,success,failure_reason,peak_abs__s0_dx,peak_abs__s0_dy,peak_abs__s0_dz,peak_abs__s1_dx,peak_abs__s1_dy,peak_abs__s1_dz,peak_abs__s2_dx,peak_abs__s2_dy,peak_abs__s2_dz,peak_abs__s3_dx,peak_abs__s3_dy,peak_abs__s3_dz,mean_abs__s0_dx,mean_abs__s0_dy,mean_abs__s0_dz,mean_abs__s1_dx,mean_abs__s1_dy,mean_abs__s1_dz,mean_abs__s2_dx,mean_abs__s2_dy,mean_abs__s2_dz,mean_abs__s3_dx,mean_abs__s3_dy,mean_abs__s3_dz,rms__s0_dx,rms__s0_dy,rms__s0_dz,rms__s1_dx,rms__s1_dy,rms__s1_dz,rms__s2_dx,rms__s2_dy,rms__s2_dz,rms__s3_dx,rms__s3_dy,rms__s3_dz,t2__s0_dx,t2__s0_dy,t2__s0_dz,t2__s1_dx,t2__s1_dy,t2__s1_dz,t2__s2_dx,t2__s2_dy,t2__s2_dz,t2__s3_dx,t2__s3_dy,t2__s3_dz,t2__s0_mag,t2__s1_mag,t2__s2_mag,t2__s3_mag,enc_t2,load_t2,current_t2,time_to_stall_ms,enc_t1
6,1,cylinder_stiff,encoder_stall,1031,98.47,97.68,0,113,1,,3.0,15.0,15.0,27.0,15.0,53.0,6.0,3.0,10.0,42.0,54.0,58.0,1.7999999523162842,13.5,13.300000190734863,16.799999237060547,12.0,34.70000076293945,5.699999809265137,2.4000000953674316,8.5,35.400001525878906,43.5,50.599998474121094,2.3237900733947754,13.649175643920898,13.40522289276123,17.697458267211914,12.296340942382812,37.014862060546875,5.770615100860596,2.683281421661377,8.8034086227417,35.52182388305664,43.752716064453125,50.835025787353516,-3.0,-12.0,15.0,-18.0,15.0,43.0,-6.0,3.0,-10.0,-30.0,-36.0,-39.0,19.442222595214844,48.96937942504883,12.041594505310059,60.96720504760742,97.68000030517578,0.0,113.0,1031.0,98.47000122070312
6,2,cylinder_stiff,encoder_stall,1047,98.91,97.77,0,116,1,,6.0,18.0,19.0,24.0,15.0,48.0,6.0,3.0,10.0,42.0,54.0,58.0,2.3333332538604736,14.333333015441895,14.11111068725586,18.0,11.333333015441895,34.77777862548828,5.333333492279053,2.3333332538604736,10.0,35.0,44.0,49.11111068725586,3.0,14.525838851928711,14.271183013916016,18.16590118408203,11.48912525177002,35.15521240234375,5.4772257804870605,2.6457512378692627,10.0,35.11410140991211,44.204071044921875,49.21156311035156,-3.0,-12.0,14.0,-18.0,12.0,38.0,-6.0,3.0,-10.0,-33.0,-39.0,-48.0,18.681541442871094,43.72642135620117,12.041594505310059,70.09992980957031,97.7699966430664,0.0,116.0,1047.0,98.91000366210938
6,3,cylinder_stiff,encoder_stall,1078,98.91,97.77,0,120,1,,3.0,19.5,19.0,19.5,15.0,48.5,6.0,3.0,10.0,37.5,52.5,50.5,2.0,14.333333015441895,12.666666984558105,15.333333015441895,11.0,30.33333396911621,5.0,1.0,10.0,33.33333206176758,45.0,47.22222137451172,2.4494898319244385,14.645818710327148,12.96790885925293,16.170961380004883,11.247221946716309,32.63689041137695,5.196152210235596,1.7320507764816284,10.0,33.36914825439453,45.194026947021484,47.286949157714844,0.0,-12.0,10.0,-18.0,12.0,33.0,-6.0,3.0,-10.0,-33.0,-42.0,-48.0,15.620499610900879,39.458839416503906,12.041594505310059,71.812255859375,97.7699966430664,0.0,120.0,1078.0,98.91000366210938
6,4,cylinder_stiff,encoder_stall,1078,99.0,97.94,0,141,1,,4.5,21.0,14.0,21.0,13.5,53.0,6.0,3.0,15.0,39.0,57.0,53.0,2.549999952316284,14.850000381469727,12.449999809265137,17.399999618530273,10.5,37.650001525878906,5.099999904632568,1.5,8.25,32.849998474121094,44.400001525878906,47.95000076293945,2.885307550430298,15.126962661743164,12.705313682556152,18.012496948242188,10.670051574707031,39.12959289550781,5.449770927429199,2.1213202476501465,8.979142189025879,32.94882583618164,44.71409225463867,48.0158805847168,-4.5,-15.0,10.0,-19.5,13.5,43.0,-6.0,0.0,-2.5,-30.0,-37.5,-44.0,18.580904006958008,49.107025146484375,6.5,65.13256072998047,97.94000244140625,0.0,141.0,1078.0,99.0
6,5,cylinder_stiff,encoder_stall,1079,100.06,97.77,0,119,1,,3.0,21.0,14.0,21.0,12.0,43.0,6.0,3.0,10.0,39.0,54.0,53.0,3.0,14.333333015441895,12.666666984558105,17.66666603088379,11.0,38.0,5.0,1.6666666269302368,8.333333015441895,33.66666793823242,44.0,47.66666793823242,3.0,14.662878036499023,12.806248664855957,17.748239517211914,11.090536117553711,38.21866989135742,5.196152210235596,2.2360680103302,8.66025447845459,33.74907302856445,44.204071044921875,47.73188781738281,-3.0,-12.0,10.0,-18.0,12.0,43.0,-6.0,0.0,-10.0,-30.0,-39.0,-44.0,15.905973434448242,48.13522720336914,11.661903381347656,66.00757598876953,97.7699966430664,0.0,119.0,1079.0,100.05999755859375
6,6,cylinder_stiff,magnetic,1078,99.97,97.77,0,113,1,,3.0,18.0,14.0,27.0,12.0,43.0,6.0,3.0,10.0,36.0,60.0,48.0,2.3333332538604736,14.333333015441895,12.55555534362793,15.666666984558105,11.0,30.66666603088379,5.0,2.3333332538604736,7.222222328186035,33.66666793823242,45.33333206176758,47.55555725097656,2.6457512378692627,14.525838851928711,12.723556518554688,16.5831241607666,11.090536117553711,32.06590270996094,5.196152210235596,2.6457512378692627,7.6376261711120605,33.689762115478516,45.73838806152344,47.572166442871094,-3.0,-12.0,10.0,-18.0,12.0,38.0,-6.0,0.0,-5.0,-33.0,-39.0,-48.0,15.905973434448242,43.72642135620117,7.8102498054504395,70.09992980957031,97.7699966430664,0.0,113.0,1078.0,99.97000122070312
6,7,cylinder_stiff,magnetic,1093,99.09,97.94,0,140,1,,3.0,21.0,19.0,21.0,12.0,48.0,6.0,3.0,15.0,39.0,54.0,53.0,1.6666666269302368,15.166666984558105,13.833333015441895,15.833333015441895,10.5,31.83333396911621,5.333333492279053,1.6666666269302368,10.0,34.16666793823242,45.83333206176758,47.5,2.2360680103302,15.435349464416504,14.314910888671875,16.439281463623047,10.641898155212402,33.77745819091797,5.4772257804870605,2.2360680103302,10.274023056030273,34.238136291503906,46.02444839477539,47.566619873046875,-3.0,-12.0,10.0,-18.0,12.0,38.0,-6.0,0.0,-10.0,-33.0,-42.0,-48.0,15.905973434448242,43.72642135620117,11.661903381347656,71.812255859375,97.94000244140625,0.0,140.0,1093.0,99.08999633789062
6,8,cylinder_stiff,magnetic,1032,98.74,97.68,0,116,1,,3.0,21.0,19.0,24.0,12.0,43.0,6.0,3.0,15.0,39.0,54.0,50.5,2.6666667461395264,15.5,12.05555534362793,14.5,10.833333015441895,29.05555534362793,5.0,2.0,8.333333015441895,33.5,44.83333206176758,46.94444274902344,2.8284270763397217,15.819292068481445,12.737739562988281,15.596473693847656,10.965856552124023,30.701519012451172,5.196152210235596,2.4494898319244385,8.975275039672852,33.55964660644531,45.03609848022461,46.99674987792969,-3.0,-12.0,10.0,-18.0,12.0,33.0,-6.0,0.0,-5.0,-33.0,-39.0,-44.0,15.905973434448242,39.458839416503906,7.8102498054504395,67.42403411865234,97.68000030517578,0.0,116.0,1032.0,98.73999786376953
6,9,cylinder_stiff,encoder_stall,1047,99.97,97.68,0,114,1,,3.0,21.0,19.0,21.0,12.0,38.0,6.0,3.0,10.0,42.0,60.0,48.0,3.0,15.75,14.25,16.875,11.25,32.75,5.625,1.5,9.375,34.125,45.75,47.5,3.0,16.01561737060547,14.603081703186035,17.06970977783203,11.324751853942871,33.105892181396484,5.711829662322998,2.1213202476501465,9.519716262817383,34.25456237792969,46.11127853393555,47.51841735839844,-3.0,-12.0,10.0,-18.0,12.0,38.0,-6.0,3.0,-10.0,-33.0,-42.0,-48.0,15.905973434448242,43.72642135620117,12.041594505310059,71.812255859375,97.68000030517578,0.0,114.0,1047.0,99.97000122070312
6,10,cylinder_stiff,encoder_stall,1031,98.74,97.68,0,115,1,,3.0,19.5,19.0,19.5,13.5,48.5,6.0,3.0,15.0,34.5,49.5,50.5,2.6666667461395264,15.0,13.55555534362793,15.666666984558105,11.0,32.33333206176758,4.666666507720947,2.0,10.0,33.33333206176758,44.33333206176758,46.77777862548828,2.8284270763397217,15.215124130249023,14.065323829650879,16.5075740814209,11.157957077026367,34.773075103759766,4.898979663848877,2.4494898319244385,10.274023056030273,33.33916473388672,44.43534469604492,46.82888412475586,-3.0,-12.0,10.0,-18.0,12.0,38.0,-6.0,3.0,-5.0,-33.0,-42.0,-48.0,15.905973434448242,43.72642135620117,8.366600036621094,71.812255859375,97.68000030517578,0.0,115.0,1031.0,98.73999786376953
