session_id,grasp_index,label,t1_source,time_to_stall_ms,enc_t1,enc_t2,load_t2,current_t2,success,failure_reason,peak_abs__s0_dx,peak_abs__s0_dy,peak_abs__s0_dz,peak_abs__s1_dx,peak_abs__s1_dy,peak_abs__s1_dz,peak_abs__s2_dx,peak_abs__s2_dy,peak_abs__s2_dz,peak_abs__s3_dx,peak_abs__s3_dy,peak_abs__s3_dz,mean_abs__s0_dx,mean_abs__s0_dy,mean_abs__s0_dz,mean_abs__s1_dx,mean_abs__s1_dy,mean_abs__s1_dz,mean_abs__s2_dx,mean_abs__s2_dy,mean_abs__s2_dz,mean_abs__s3_dx,mean_abs__s3_dy,mean_abs__s3_dz,rms__s0_dx,rms__s0_dy,rms__s0_dz,rms__s1_dx,rms__s1_dy,rms__s1_dz,rms__s2_dx,rms__s2_dy,rms__s2_dz,rms__s3_dx,rms__s3_dy,rms__s3_dz,t2__s0_dx,t2__s0_dy,t2__s0_dz,t2__s1_dx,t2__s1_dy,t2__s1_dz,t2__s2_dx,t2__s2_dy,t2__s2_dz,t2__s3_dx,t2__s3_dy,t2__s3_dz,t2__s0_mag,t2__s1_mag,t2__s2_mag,t2__s3_mag,enc_t2,load_t2,current_t2,time_to_stall_ms,enc_t1
12,1,cube_soft,encoder_stall,1047,102.7,103.93,0,66,1,,3,3,5,6,9,10,3,6,10,6,3,5,0.8333333134651184,0.8333333134651184,1.6666666269302368,0.6666666865348816,1.6666666269302368,7.777777671813965,3,6,7.777777671813965,5,0.3333333432674408,2.222222328186035,1.5,1.5,2.886751174926758,2,3.316624879837036,8.164965629577637,3,6,8.069146156311035,5.196152210235596,1,3.3333332538604736,1.5,-1.5,0,0,0,5,3,6,-7,3,0,5,2.1213202476501465,5,9.695360184,5.830951690673828,103.93000030517578,0,66,1047,102.69999694824219
12,2,cube_soft,encoder_stall,1141,105.86,104.81,0,70,1,,0,3,0,3,3,5,3,6,11.5,9,6,5,0,1.125,0,1.875,0.375,3.125,2.625,3.9375,4.5625,6.1875,3.375,3.4375,0,1.837117314338684,0,2.3717081546783447,1.0606601238250732,3.9528470039367676,2.8062429428100586,4.142010212,5.670648097991943,6.297320843,3.5178117752075195,4.050462723,0,0,0,3,0,0,3,3,-5,6,3,5,0,3,6.557438373565674,8.366600036621094,104.80999755859375,0,70,1141,105.86000061035156
12,3,cube_soft,encoder_stall,1156,105.86,104.9,0,73,1,,0,3,5,3,3,5,6,3,5,9,3,5,0,0.75,2.5,1.125,0.75,4.375,3.375,2.625,3.75,6.75,2.25,3.75,0,1.5,3.535533905029297,1.837117314338684,1.5,4.677071571350098,3.5178117752075195,2.8062429428100586,4.330127239227295,6.873863697052002,2.598076105117798,4.330127239227295,0,0,0,0,0,5,3,3,-5,6,3,0,0,5,6.557438373565674,6.7082037925720215,104.9000015258789,0,73,1156,105.86000061035156
12,4,cube_soft,encoder_stall,1125,105.95,104.9,0,79,1,,3,3,5,3,3,5,3,3,5,9,3,5,0.375,0.375,1.25,0.75,1.5,3.75,1.5,2.625,2.5,6.75,1.5,2.5,1.0606601238250732,1.0606601238250732,2.5,1.5,2.1213202476501465,4.330127239227295,2.1213202476501465,2.8062429428100586,3.535533905029297,6.873863697052002,2.1213202476501465,3.535533905029297,0,0,5,3,0,5,0,3,-5,6,3,0,5,5.830951690673828,5.830951690673828,6.7082037925720215,104.9000015258789,0,79,1125,105.94999694824219
12,5,cube_soft,encoder_stall,1094,105.86,104.9,0,72,1,,3,3,5,3,3,10,3,4.5,11.5,9,3,5,1.5,0.375,1.875,0.75,1.125,5.625,1.875,2.8125,5.1875,7.3125,1.5,4.6875,2.1213202476501465,1.0606601238250732,3.0618622303009033,1.5,1.837117314338684,5.8630194664001465,2.3717081546783447,3.0465145111083984,6.444474220275879,7.443537235,2.1213202476501465,4.759858131408691,0,0,0,0,0,5,3,3,0,6,0,5,0,5,4.242640495300293,7.8102498054504395,104.9000015258789,0,72,1094,105.86000061035156
12,6,cube_soft,encoder_stall,1172,105.95,104.9,0,83,1,,3,6,5,3,3,10,3,4.5,16.5,9,3,5,1,1.6666666269302368,1.6666666269302368,2.3333332538604736,1.6666666269302368,5.555555344,2.6666667461395264,1.1666666269302368,7.833333492279053,7.5,1.6666666269302368,3.055555582046509,1.7320507764816284,2.6457512378692627,2.886751174926758,2.6457512378692627,2.23606801,6.236095905303955,2.8284270763397217,2.0615527629852295,8.681077957,7.632168769836426,2.23606801,3.8188130855560303,3,-3,5,-3,0,5,3,3,-9,6,-3,0,6.557438373565674,5.830951690673828,9.949873924255371,6.7082037925720215,104.9000015258789,0,83,1172,105.94999694824219
12,7,cube_soft,encoder_stall,1062,105.34,104.19,0,82,1,,6,3,14,9,9,10,3,15,15,3,9,4,5.333333492279053,0.6666666865348816,9.888889313,8.666666984558105,6,9.444444656,2.3333332538604736,12.333333015441895,9.888889313,0.6666666865348816,5,3.1111111640930176,5.4772257804870605,1.4142135381698608,10.115994453430176,8.717798233032227,6.164413928985596,9.574271202087402,2.6457512378692627,12.369317054748535,10.386957168579102,1.4142135381698608,5.385164737701416,3.5276684761047363,-6,0,10,-9,6,10,0,12,10,0,6,-4,11.661903381347656,14.73091983795166,15.620499610900879,7.211102485656738,104.19000244140625,0,82,1062,105.33999633789062
12,8,cube_soft,encoder_stall,1109,105.51,104.37,0,79,1,,6,3,15,9,6,15,3,15,10,3,12,6.5,4.833333492279053,1.1666666269302368,9.444444656,7,3.6666667461395264,10,0.6666666865348816,12.5,7.722222328186035,0.5,6,2.5,5.024937629699707,1.8027756214141846,9.860133171081543,7.141428470611572,4.123105525970459,10.274023056030273,1.4142135381698608,12.539936065673828,8.029459953308105,1.118034005,6.480740547180176,3.4359214305877686,-4.5,-1.5,15,-9,0,5,3,12,7,3,6,-4,15.732132911682129,10.29563045501709,14.21267032623291,7.8102498054504395,104.37000274658203,0,79,1109,105.51000213623047
12,9,cube_soft,encoder_stall,954,105.6,104.46,0,88,1,,3,3,10,9,6,10,3,15,14,6,9,4,3,2.5714285373687744,7.142857074737549,6.857142925262451,3.4285714626312256,8.571428298950195,2.5714285373687744,12.857142448425293,6.857142925262451,1.7142857313156128,5.5714287757873535,1.1428571939468384,3,2.7774603366851807,7.559289455413818,7.1713714599609375,3.5856857299804688,8.864052772521973,2.7774603366851807,12.928374290466309,7.578164100646973,2.7774603366851807,5.891882896,2.138089895248413,-3,3,5,-6,3,10,3,15,5,0,6,0,6.557438373565674,12.041594505310059,16.093477249145508,6,104.45999908447266,0,88,954,105.5999984741211
12,10,cube_soft,encoder_stall,1110,105.69,104.46,0,79,1,,6,9,10,9,3,10,3,18,10,6,6,4,3,4.875,5,6,2.625,5,1.5,15.1875,6.9375,2.8125,4.875,2.3125,3.3541018962860107,5.303300857543945,5.590169906616211,6.363961219787598,2.8062429428100586,5.590169906616211,2.1213202476501465,15.269454956054688,7.230577469,3.5575623512268066,5.086747646331787,2.963317394256592,0,3,5,-3,3,0,3,15,9,6,6,0,5.830951690673828,4.242640495300293,17.748239517211914,8.485280990600586,104.45999908447266,0,79,1110,105.69000244140625
12,11,cube_soft,encoder_stall,1125,105.69,104.63,0,84,1,,6,9,5,9,6,5,3,16.5,14,6,9,9,3,4.125,4.375,4.125,3.75,1.25,1.125,12.9375,10.0625,3.1875,7.125,4.9375,3.3541018962860107,4.623310565948486,4.677071571350098,4.623310565948486,3.9686269760131836,2.5,1.837117314338684,13.044395446777344,10.327451705932617,3.3957693576812744,7.271519660949707,5.235097885131836,-3,3,0,-3,3,0,0,12,9,3,9,-4,4.242640495300293,4.242640495300293,15,10.29563045501709,104.62999725341797,0,84,1125,105.69000244140625
12,12,cube_soft,encoder_stall,1110,105.69,104.63,0,88,1,,3,9,5,6,3,0,3,16.5,14,6,9,4,3,6,4.375,2.25,3,0,1.5,12.5625,10.6875,3.9375,6.75,0.8125,3,6.184658527374268,4.677071571350098,3,3,0,2.1213202476501465,12.650345802307129,11.001420021057129,4.275657653808594,6.873863697052002,1.6677080392837524,-3,6,0,0,3,0,0,12,14,3,6,0,6.7082037925720215,3,18.439088821411133,6.7082037925720215,104.62999725341797,0,88,1110,105.69000244140625
