session_id,grasp_index,label,t1_source,time_to_stall_ms,enc_t1,enc_t2,load_t2,current_t2,success,failure_reason,peak_abs__s0_dx,peak_abs__s0_dy,peak_abs__s0_dz,peak_abs__s1_dx,peak_abs__s1_dy,peak_abs__s1_dz,peak_abs__s2_dx,peak_abs__s2_dy,peak_abs__s2_dz,peak_abs__s3_dx,peak_abs__s3_dy,peak_abs__s3_dz,mean_abs__s0_dx,mean_abs__s0_dy,mean_abs__s0_dz,mean_abs__s1_dx,mean_abs__s1_dy,mean_abs__s1_dz,mean_abs__s2_dx,mean_abs__s2_dy,mean_abs__s2_dz,mean_abs__s3_dx,mean_abs__s3_dy,mean_abs__s3_dz,rms__s0_dx,rms__s0_dy,rms__s0_dz,rms__s1_dx,rms__s1_dy,rms__s1_dz,rms__s2_dx,rms__s2_dy,rms__s2_dz,rms__s3_dx,rms__s3_dy,rms__s3_dz,t2__s0_dx,t2__s0_dy,t2__s0_dz,t2__s1_dx,t2__s1_dy,t2__s1_dz,t2__s2_dx,t2__s2_dy,t2__s2_dz,t2__s3_dx,t2__s3_dy,t2__s3_dz,t2__s0_mag,t2__s1_mag,t2__s2_mag,t2__s3_mag,enc_t2,load_t2,current_t2,time_to_stall_ms,enc_t1
10,1,cylinder_stiff,encoder_stall,1032,97.77,98.12,0,106,1,,3.0,12.0,19.0,18.0,15.0,39.0,4.5,6.0,12.0,36.0,48.0,48.0,2.0,7.0,11.55555534362793,9.666666984558105,14.0,24.77777862548828,1.6666666269302368,4.0,7.333333492279053,32.66666793823242,39.33333206176758,44.11111068725586,2.4494898319244385,7.348469257354736,12.069245338439941,10.630146026611328,14.071247100830078,26.639570236206055,2.0,4.242640495300293,7.5424723625183105,32.74140930175781,39.52214431762695,44.16006088256836,-3.0,-4.5,7.5,-9.0,15.0,31.5,1.5,3.0,-7.0,-33.0,-34.5,-43.0,9.246621131896973,36.03123474121094,7.762087345123291,64.25145721435547,98.12000274658203,0.0,106.0,1032.0,97.7699966430664
10,2,cylinder_stiff,encoder_stall,1047,99.18,98.3,0,130,1,,3.0,15.0,19.0,15.0,15.0,36.5,3.0,6.0,7.0,33.0,51.0,48.0,2.1666667461395264,8.5,12.722222328186035,10.0,13.666666984558105,24.22222137451172,1.5,4.5,6.55555534362793,32.66666793823242,40.16666793823242,44.11111068725586,2.5,8.986100196838379,13.464975357055664,10.488088607788086,13.82027530670166,26.3354434967041,1.658312439918518,4.7169904708862305,6.608076095581055,32.68027114868164,40.44440460205078,44.16006088256836,-3.0,-7.5,7.5,-12.0,15.0,36.5,-1.5,3.0,-7.0,-33.0,-34.5,-43.0,11.022704124450684,41.246212005615234,7.762087345123291,64.25145721435547,98.30000305175781,0.0,130.0,1047.0,99.18000030517578
10,3,cylinder_stiff,encoder_stall,1032,100.94,98.74,0,117,1,,1.5,15.0,19.0,18.0,15.0,44.0,3.0,7.5,10.0,33.0,48.0,48.0,1.1666666269302368,12.0,15.222222328186035,14.333333015441895,10.666666984558105,30.5,2.0,5.166666507720947,5.55555534362793,30.66666603088379,43.33333206176758,43.55555725097656,1.3228756189346313,12.083045959472656,15.57419490814209,15.264337539672852,10.954451560974121,32.2261962890625,2.4494898319244385,5.267827033996582,5.773502349853516,30.692018508911133,43.4281005859375,43.58388900756836,-1.5,-12.0,10.0,-15.0,15.0,36.5,-3.0,4.5,-10.0,-30.0,-39.0,-43.0,15.692355155944824,42.21670150756836,11.368817329406738,65.3452377319336,98.73999786376953,0.0,117.0,1032.0,100.94000244140625
10,4,cylinder_stiff,encoder_stall,1047,100.94,98.74,0,111,1,,4.5,15.0,19.0,18.0,15.0,41.5,3.0,7.5,7.0,36.0,51.0,43.0,1.8333333730697632,11.5,14.38888931274414,15.333333015441895,11.666666984558105,37.33333206176758,2.1666667461395264,5.833333492279053,5.222222328186035,31.33333396911621,42.83333206176758,42.44444274902344,2.1794495582580566,11.968708992004395,14.867002487182617,15.491933822631836,11.789826393127441,37.555885314941406,2.5,6.062177658081055,5.259911060333252,31.400636672973633,42.99127960205078,42.4735221862793,-3.0,-4.5,12.5,-15.0,15.0,41.5,-1.5,6.0,-7.0,-30.0,-37.5,-43.0,13.61983871459961,46.60740280151367,9.340770721435547,64.46122741699219,98.73999786376953,0.0,111.0,1047.0,100.94000244140625
10,5,cylinder_stiff,encoder_stall,1031,100.5,98.3,0,129,1,,6.0,15.0,19.0,18.0,18.0,49.0,4.5,6.0,7.0,36.0,48.0,43.0,3.0,8.0625,12.5625,15.0,15.75,37.4375,1.6875,4.875,6.75,33.0,38.8125,41.125,3.3541018962860107,8.665664672851562,13.089834213256836,15.074813842773438,15.945219039916992,37.809967041015625,2.053959608078003,5.086747646331787,6.78233003616333,33.03407287597656,39.025230407714844,41.1961784362793,-3.0,-7.5,12.5,-15.0,18.0,41.5,-1.5,3.0,-7.0,-33.0,-34.5,-43.0,14.8828763961792,47.65763473510742,7.762087345123291,64.25145721435547,98.30000305175781,0.0,129.0,1031.0,100.5
10,6,cylinder_stiff,encoder_stall,1016,99.26,98.3,0,112,1,,6.0,15.0,24.0,21.0,18.0,49.0,3.0,7.5,10.0,36.0,48.0,43.0,3.299999952316284,9.0,14.550000190734863,15.300000190734863,14.550000190734863,36.099998474121094,2.0999999046325684,5.25,6.449999809265137,31.5,39.75,39.099998474121094,3.612478494644165,9.463086128234863,15.01915454864502,16.294170379638672,15.06734848022461,38.143150329589844,2.2248594760894775,5.592405319213867,6.710067272186279,31.64964485168457,40.04466247558594,39.315391540527344,-6.0,-9.0,12.5,-21.0,13.5,44.0,-3.0,7.5,-2.5,-24.0,-31.5,-29.0,16.530275344848633,50.58903121948242,8.455767631530762,49.084110260009766,98.30000305175781,0.0,112.0,1016.0,99.26000213623047
10,7,cylinder_stiff,encoder_stall,1015,100.85,98.74,0,112,1,,6.0,18.0,19.0,24.0,18.0,53.0,3.0,7.5,7.0,36.0,51.0,48.0,2.1666667461395264,12.5,13.5,19.0,12.666666984558105,42.22222137451172,2.5,6.166666507720947,5.222222328186035,31.0,41.83333206176758,41.88888931274414,2.7838821411132812,12.971121788024902,13.913422584533691,19.10497283935547,12.961481094360352,42.5532341003418,2.692582368850708,6.304759979248047,5.259911060333252,31.064449310302734,42.02677536010742,42.006614685058594,-6.0,-4.5,7.5,-18.0,18.0,46.5,1.5,6.0,-7.0,-30.0,-34.5,-38.0,10.60660171508789,53.01179122924805,9.340770721435547,59.44955825805664,98.73999786376953,0.0,112.0,1015.0,100.8499984741211
10,8,cylinder_stiff,encoder_stall,1031,100.32,98.21,0,103,1,,6.0,15.0,19.0,21.0,18.0,39.0,3.0,6.0,7.0,33.0,48.0,48.0,3.6666667461395264,8.5,13.666666984558105,15.666666984558105,13.833333015441895,33.72222137451172,1.8333333730697632,5.166666507720947,5.722222328186035,31.66666603088379,38.66666793823242,38.66666793823242,3.872983455657959,9.096702575683594,14.051492691040039,15.905973434448242,14.008925437927246,34.12029266357422,1.9364917278289795,5.315073013305664,6.048415660858154,31.796226501464844,38.85871887207031,38.955814361572266,-6.0,-12.0,17.5,-18.0,10.5,39.0,-3.0,4.5,-2.5,-24.0,-34.5,-29.0,22.051076889038086,44.21820831298828,5.958187580108643,51.06123733520508,98.20999908447266,0.0,103.0,1031.0,100.31999969482422
10,9,cylinder_stiff,encoder_stall,1031,99.18,98.21,0,105,1,,6.0,15.0,19.0,21.0,18.0,46.5,3.0,7.5,10.0,33.0,51.0,38.0,3.5,8.833333015441895,13.38888931274414,13.666666984558105,15.0,35.22222137451172,1.5,5.166666507720947,6.55555534362793,31.66666603088379,41.5,38.0,4.031128883361816,9.31396770477295,13.807204246520996,14.387495040893555,15.329710006713867,36.7846565246582,1.658312439918518,5.408327102661133,6.855654716491699,31.70173454284668,41.74625778198242,38.0,-3.0,-4.5,7.5,-15.0,18.0,46.5,1.5,6.0,-2.0,-30.0,-37.5,-38.0,9.246621131896973,52.069664001464844,6.5,61.23928451538086,98.20999908447266,0.0,105.0,1031.0,99.18000030517578
10,10,cylinder_stiff,encoder_stall,1062,99.26,98.3,0,127,1,,3.0,12.0,19.0,21.0,18.0,49.0,3.0,6.0,12.0,36.0,51.0,43.0,2.25,7.949999809265137,13.050000190734863,13.800000190734863,15.600000381469727,36.099998474121094,1.350000023841858,4.050000190734863,6.900000095367432,31.5,40.04999923706055,38.0,2.554408073425293,8.418728828430176,13.49351692199707,14.758049011230469,15.81771183013916,38.43696212768555,1.5732132196426392,4.2690749168396,7.3688530921936035,31.621196746826172,40.43606185913086,38.065731048583984,0.0,-9.0,15.0,-18.0,15.0,49.0,-3.0,6.0,-5.0,-27.0,-30.0,-33.0,17.492855072021484,54.31390380859375,8.366600036621094,52.13444137573242,98.30000305175781,0.0,127.0,1062.0,99.26000213623047
